query	address.country_code	un_region	un_subregion	hand_edited	Freq	query_date	place_id	osm_type	display_name	class	type	importance	address.country	reviewed
uk	gb	Europe	Northern Europe	FALSE	1201	2021-02-03	258411454	relation	United Kingdom	boundary	administrative	0.872378013283733	United Kingdom	TRUE
us	us	Americas	Northern America	FALSE	1173	2021-02-03	257984054	relation	United States	boundary	administrative	0.935691367457589	United States	TRUE
california	us	Americas	Northern America	FALSE	1068	2021-02-03	258350986	relation	California, United States	boundary	administrative	0.912136384157707	United States	TRUE
united states	us	Americas	Northern America	FALSE	1060	2021-02-03	257984054	relation	United States	boundary	administrative	1.13569136745759	United States	TRUE
massachusetts	us	Americas	Northern America	FALSE	770	2021-02-03	258278823	relation	Massachusetts, United States	boundary	administrative	0.836449761303479	United States	TRUE
germany	de	Europe	Western Europe	FALSE	697	2021-02-03	257692299	relation	Deutschland	boundary	administrative	0.889681489172255	Deutschland	TRUE
china	cn	Asia	Eastern Asia	FALSE	674	2021-02-03	257605389	relation	ä¸­å›½	boundary	administrative	0.87882659637803	ä¸­å›½	TRUE
maryland	us	Americas	Northern America	FALSE	528	2021-02-03	258170637	relation	Maryland, United States	boundary	administrative	0.824620353023131	United States	TRUE
nasa	us	Americas	Northern America	FALSE	524	2021-02-03	99133114	way	Lyndon B. Johnson Space Center, 2101, NASA Parkway, Houston, Harris County, Texas, 77058, United States	tourism	attraction	0.618056742388072	United States	TRUE
canada	ca	Americas	Northern America	FALSE	513	2021-02-03	258158704	relation	Canada	boundary	administrative	0.966125910965408	Canada	TRUE
new york	us	Americas	Northern America	FALSE	479	2021-02-03	258355858	relation	New York, United States	boundary	administrative	1.01757661145185	United States	TRUE
australia	au	Oceania	Australia and New Zealand	FALSE	423	2021-02-03	257740098	relation	Australia	boundary	administrative	0.952135063915111	Australia	TRUE
japan	jp	Asia	Eastern Asia	FALSE	406	2021-02-03	258446007	relation	æ—¥æœ¬	boundary	administrative	0.871013326546246	æ—¥æœ¬	TRUE
university of california	us	Americas	Northern America	FALSE	404	2021-02-03	258416614	relation	University of California, Berkeley, North Street, Panoramic Hill, Berkeley, Alameda County, California, 94720-1076, United States	amenity	university	0.948194378261701	United States	TRUE
united kingdom	gb	Europe	Northern Europe	FALSE	353	2021-02-03	258411454	relation	United Kingdom	boundary	administrative	1.07237801328373	United Kingdom	TRUE
switzerland	ch	Europe	Western Europe	FALSE	344	2021-02-03	257695656	relation	Schweiz/Suisse/Svizzera/Svizra	boundary	administrative	0.826485171575252	Schweiz/Suisse/Svizzera/Svizra	TRUE
france	fr	Europe	Western Europe	FALSE	339	2021-02-03	258401904	relation	France	boundary	administrative	1.01332644373965	France	TRUE
european union	MULTI	Europe	MULTI	TRUE	279	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
netherlands	nl	Europe	Western Europe	FALSE	270	2021-02-03	258635389	relation	Nederland	boundary	administrative	0.829416895369094	Nederland	TRUE
italy	it	Europe	Southern Europe	FALSE	262	2021-02-03	258444203	relation	Italia	boundary	administrative	0.883101903144055	Italia	TRUE
congress	NONE	NA	NA	TRUE	258	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
india	in	Asia	Southern Asia	FALSE	254	2021-02-03	298116298	relation	India	boundary	administrative	0.947689135880987	India	TRUE
washington	us	Americas	Northern America	FALSE	240	2021-02-03	259037983	relation	Washington, District of Columbia, United States	boundary	administrative	0.849288898611582	United States	TRUE
america	NONE	NA	NA	TRUE	239	2021-02-03	NA	NA	NA	NA	NA	NA	NA	TRUE
